,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state
16,2016-01-05,shot,undetermined,29,M,White,Olympia,WA,False,attack,Foot,False,True,18-29,undetermined,undetermined,undetermined,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Olympia, WA"
17,2016-01-10,shot,chain saw,37,M,White,Kelso,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kelso, WA"
18,2016-01-13,shot,gun,60,M,White,Cle Elum,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Cle Elum, WA"
19,2016-01-28,shot,vehicle,32,F,Native,Tacoma,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,1,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
20,2016-02-20,shot,gun,41,M,Black,Lakewood,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,2,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lakewood, WA"
21,2016-02-21,shot,undetermined,46,M,Black,Seattle,WA,False,other,Not fleeing,False,True,45-59,undetermined,undetermined,undetermined,1,2,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
22,2016-03-13,shot,hammer,38,F,White,Vancouver,WA,True,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,3,2016,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
23,2016-04-28,tasered and shot,knife,45,M,White,Spokane,WA,True,other,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,4,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
24,2016-05-04,shot,gun,39,M,White,Burien,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,5,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Burien, WA"
25,2016-05-07,shot,gun,29,M,White,Lake Stevens,WA,True,other,Not fleeing,False,True,18-29,armed,gun,gun,1,5,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lake Stevens, WA"
26,2016-06-10,shot,gun,50,M,Hispanic,Yakima,WA,False,attack,Not fleeing,True,True,45-59,armed,gun,gun,1,6,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA"
27,2016-06-13,shot,undetermined,43,M,White,Vancouver,WA,False,other,Car,False,True,30-44,undetermined,undetermined,undetermined,1,6,2016,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
28,2016-07-31,shot,Taser,38,M,Hispanic,Wapato,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,7,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Wapato, WA"
29,2016-08-11,shot,gun,59,M,White,Tukwila,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tukwila, WA"
30,2016-08-17,shot,piece of wood,27,M,Black,Kelso,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,other weapon,1,8,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kelso, WA"
31,2016-08-30,tasered and shot,chain saw,36,M,None,Graham,WA,True,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,8,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Graham, WA"
32,2016-09-03,shot,undetermined,25,M,White,East Wenatchee,WA,False,undetermined,Not fleeing,False,True,18-29,undetermined,undetermined,undetermined,1,9,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"East Wenatchee, WA"
33,2016-09-09,shot,unknown weapon,64,M,White,Auburn,WA,True,other,Not fleeing,False,True,60-75,armed,other weapon,other weapon,1,9,2016,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Auburn, WA"
34,2016-10-08,shot,knife,21,M,Hispanic,Federal Way,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Federal Way, WA"
35,2016-10-11,shot,knife,44,M,Asian,Seattle,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
36,2016-10-13,shot,gun,38,M,White,Kent,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kent, WA"
37,2016-10-21,shot,gun,23,F,Native,Muckleshoot Indian Reservation,WA,True,other,Not fleeing,False,True,18-29,armed,gun,gun,1,10,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Muckleshoot Indian Reservation, WA"
38,2016-11-05,shot,gun,59,M,None,Beaver,WA,True,other,Not fleeing,False,True,45-59,armed,gun,gun,1,11,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Beaver, WA"
39,2016-12-01,shot,gun,38,M,Black,Tacoma,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
40,2016-12-17,shot,gun,44,M,Native,Everett,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Everett, WA"
41,2016-12-18,shot,gun,37,M,White,Ridgefield,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2016,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Ridgefield, WA"
42,2017-01-15,tasered and shot,knife,33,M,White,Spokane,WA,False,other,Foot,True,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
43,2017-01-28,shot,gun,17,M,Black,Des Moines,WA,False,attack,Not fleeing,False,True,Under 18,armed,gun,gun,1,1,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Des Moines, WA"
44,2017-01-30,shot,knife,36,M,White,Lynnwood,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lynnwood, WA"
45,2017-02-09,tasered and shot,knife,33,M,Hispanic,Lake Stevens,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lake Stevens, WA"
46,2017-02-10,shot,knife,25,M,White,Vancouver,WA,False,other,Foot,False,True,18-29,armed,other weapon,knife/cutting instrument,1,2,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
47,2017-03-12,shot,knife,28,M,Hispanic,Bellingham,WA,False,attack,Foot,True,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Bellingham, WA"
48,2017-03-14,shot,undetermined,36,M,White,Fife,WA,False,attack,Not fleeing,False,True,30-44,undetermined,undetermined,undetermined,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Fife, WA"
49,2017-03-23,shot,machete,51,M,Black,Des Moines,WA,True,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,3,2017,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Des Moines, WA"
50,2017-04-14,shot,gun,33,M,White,Spanaway,WA,True,other,Car,False,True,30-44,armed,gun,gun,1,4,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spanaway, WA"
51,2017-04-20,shot,gun,19,M,Black,Seattle,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,4,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
52,2017-06-06,shot,gun,50,M,None,Vancouver,WA,False,attack,Car,False,True,45-59,armed,gun,gun,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
53,2017-06-10,shot,knife,25,M,Other,Auburn,WA,False,other,Car,False,True,18-29,armed,other weapon,knife/cutting instrument,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Auburn, WA"
54,2017-06-14,tasered and shot,pen,20,M,Asian,Burien,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,other weapon,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Burien, WA"
55,2017-06-18,shot,knife,30,F,Black,Seattle,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
56,2017-06-24,shot,undetermined,20,M,Black,Kent,WA,False,other,Car,False,True,18-29,undetermined,undetermined,undetermined,1,6,2017,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kent, WA"
57,2017-07-03,shot,gun,53,M,White,Spokane,WA,False,other,Not fleeing,True,True,45-59,armed,gun,gun,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
58,2017-07-04,shot,gun,46,M,White,Richland,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Richland, WA"
59,2017-07-08,shot,knife,22,M,Asian,Lacey,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lacey, WA"
60,2017-07-09,shot,gun,34,M,White,Bainbridge Island,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Bainbridge Island, WA"
61,2017-07-27,shot,knife,31,M,White,Wenatchee,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,7,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Wenatchee, WA"
62,2017-08-09,shot,undetermined,20,M,Black,Kent,WA,False,attack,Car,False,True,18-29,undetermined,undetermined,undetermined,1,8,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kent, WA"
63,2017-08-12,shot,knife,35,M,Hispanic,Frederickson,WA,False,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,8,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Frederickson, WA"
64,2017-08-13,shot,sword,46,M,Black,Kennewick,WA,True,attack,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,8,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kennewick, WA"
65,2017-09-03,shot,gun,47,M,White,Longview,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA"
66,2017-09-10,shot,gun,58,M,Hispanic,Tacoma,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
67,2017-09-17,shot,gun,37,M,White,Oak Harbor,WA,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Oak Harbor, WA"
68,2017-09-21,shot,knife,40,M,White,Tacoma,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2017,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
69,2017-10-04,shot,undetermined,34,M,White,Spokane,WA,True,other,Not fleeing,False,True,30-44,undetermined,undetermined,undetermined,1,10,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
70,2017-10-10,shot,gun,55,M,None,Rochester,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,10,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Rochester, WA"
71,2017-10-30,shot,gun,33,M,Native,Federal Way,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,10,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Federal Way, WA"
72,2017-11-27,shot,gun,26,M,None,Yakima,WA,False,attack,Car,False,True,18-29,armed,gun,gun,1,11,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA"
73,2017-11-28,shot,gun,59,M,White,Hillyard,WA,False,attack,Foot,False,True,45-59,armed,gun,gun,1,11,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Hillyard, WA"
74,2017-12-11,shot,gun,36,M,None,Seattle,WA,False,attack,Car,True,True,30-44,armed,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
75,2017-12-17,shot,gun,52,M,None,Bremerton,WA,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Bremerton, WA"
76,2017-12-19,shot,gun,36,M,None,Kirkland,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kirkland, WA"
77,2017-12-25,shot,gun,28,M,None,Yakima,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA"
78,2017-12-26,shot,undetermined,31,M,None,Yakima,WA,True,undetermined,Not fleeing,False,True,30-44,undetermined,undetermined,undetermined,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Yakima, WA"
79,2017-12-26,shot,gun,36,M,Native,Spokane,WA,False,attack,Foot,True,True,30-44,armed,gun,gun,1,12,2017,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
80,2018-01-07,shot,gun,27,M,White,Tacoma,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,1,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
81,2018-01-12,shot,gun,36,M,Hispanic,Puyallup,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,1,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Puyallup, WA"
82,2018-01-21,shot,unknown weapon,35,M,White,Ebey Island,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,1,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Ebey Island, WA"
83,2018-02-19,shot,gun,41,M,None,Seattle,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,2,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
84,2018-03-16,shot,knife,28,M,White,Elk Plain,WA,True,other,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2018,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Elk Plain, WA"
85,2018-04-06,shot,gun,36,M,White,Federal Way,WA,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,4,2018,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Federal Way, WA"
86,2018-06-07,shot,gun,50,M,White,Benton City,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,6,2018,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Benton City, WA"
87,2018-06-14,shot,gun,40,M,Hispanic,Kirkland,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,6,2018,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kirkland, WA"
88,2018-07-25,shot,vehicle,54,M,White,Spokane,WA,False,attack,Car,False,True,45-59,armed,other weapon,other weapon,1,7,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
89,2018-07-26,shot,gun,18,M,Hispanic,Kent Station,WA,False,other,Not fleeing,False,True,Under 18,armed,gun,gun,1,7,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kent Station, WA"
90,2018-08-03,shot,gun,31,M,White,Deer Park,WA,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Deer Park, WA"
91,2018-08-19,shot,gun,42,M,None,Spokane,WA,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
92,2018-09-03,shot,knife,40,M,White,Cheney,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Cheney, WA"
93,2018-09-09,shot,knife,43,M,None,Stanwood,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Stanwood, WA"
94,2018-09-16,shot,gun,40,M,None,Walla Walla,WA,True,other,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Walla Walla, WA"
95,2018-09-18,shot,knife,37,M,White,Marysville,WA,True,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,9,2018,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Marysville, WA"
96,2018-10-16,shot,vehicle,45,M,None,Tacoma,WA,False,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
97,2018-10-17,shot,gun,29,M,White,Longview,WA,False,attack,Foot,False,True,18-29,armed,gun,gun,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA"
98,2018-10-20,shot,gun,50,M,White,Spanaway,WA,False,other,Not fleeing,False,True,45-59,armed,gun,gun,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spanaway, WA"
99,2018-10-23,shot,unarmed,24,M,White,Alderwood Manor,WA,False,attack,Car,False,True,18-29,unarmed,unarmed,unarmed,1,10,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Alderwood Manor, WA"
100,2018-11-28,shot,vehicle,33,M,Hispanic,Vancouver,WA,False,attack,Car,False,True,30-44,armed,other weapon,other weapon,1,11,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
101,2018-12-31,shot,gun,36,M,Asian,Seattle,WA,False,attack,Foot,True,True,30-44,armed,gun,gun,1,12,2018,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
102,2019-01-07,shot,gun,38,M,Hispanic,Kent,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kent, WA"
103,2019-01-07,shot,baseball bat,35,M,White,Spokane,WA,False,attack,Not fleeing,True,True,30-44,armed,other weapon,other weapon,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
104,2019-01-13,shot,knife,43,M,None,Lakewood,WA,True,attack,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Lakewood, WA"
105,2019-01-23,shot,knife,46,M,Black,Spokane,WA,False,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,1,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
106,2019-02-07,shot,knife,34,M,Hispanic,Seattle,WA,False,attack,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
107,2019-02-19,shot,knife,16,M,Asian,Vancouver,WA,False,attack,Not fleeing,False,True,Under 18,armed,other weapon,knife/cutting instrument,1,2,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
108,2019-02-28,shot,gun,29,M,White,Vancouver,WA,True,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,2,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
109,2019-03-03,shot,toy weapon,40,M,None,Glenoma,WA,False,attack,Not fleeing,False,True,30-44,unarmed,unarmed,toy weapon,1,3,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Glenoma, WA"
110,2019-03-07,shot,gun,36,M,Hispanic,Vancouver,WA,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,3,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Vancouver, WA"
111,2019-03-14,shot,gun,27,M,None,Federal Way,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,3,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Federal Way, WA"
112,2019-03-19,shot,gun,29,M,Hispanic,Kittitas,WA,False,attack,Car,False,True,18-29,armed,gun,gun,1,3,2019,1,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kittitas, WA"
113,2019-04-16,shot,sword,42,M,White,Montesano,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,4,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Montesano, WA"
114,2019-05-04,shot,unarmed,25,M,White,Spokane,WA,True,other,Foot,False,True,18-29,unarmed,unarmed,unarmed,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
115,2019-05-09,shot,knife,31,M,Black,Seattle,WA,True,attack,Not fleeing,True,True,30-44,armed,other weapon,knife/cutting instrument,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Seattle, WA"
116,2019-05-20,shot,knife,26,M,Black,Auburn,WA,False,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Auburn, WA"
117,2019-05-31,shot,unarmed,26,M,Asian,Auburn,WA,True,other,Not fleeing,False,True,18-29,unarmed,unarmed,unarmed,1,5,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Auburn, WA"
118,2019-06-15,shot,knife,20,M,Black,Renton,WA,True,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Renton, WA"
119,2019-06-15,shot,knife,38,M,Hispanic,Toppenish,WA,False,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Toppenish, WA"
120,2019-06-18,shot,knife,18,M,Hispanic,Centralia,WA,False,other,Not fleeing,False,True,Under 18,armed,other weapon,knife/cutting instrument,1,6,2019,2,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Centralia, WA"
121,2019-07-03,shot,screwdriver,39,M,Native,Poulsbo,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Poulsbo, WA"
122,2019-07-13,shot,gun,69,M,White,Tacoma,WA,True,other,Not fleeing,False,True,60-75,armed,gun,gun,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
123,2019-07-13,shot,unarmed,35,M,Hispanic,Kirkland,WA,False,attack,Not fleeing,False,True,30-44,unarmed,unarmed,unarmed,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Kirkland, WA"
124,2019-07-21,shot,gun,28,M,Black,Tacoma,WA,False,attack,Not fleeing,False,True,18-29,armed,gun,gun,1,7,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
125,2019-08-16,shot,gun,36,M,None,Spokane Valley,WA,False,attack,Car,False,True,30-44,armed,gun,gun,1,8,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane Valley, WA"
126,2019-09-08,shot,gun,51,M,None,Longview,WA,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Longview, WA"
127,2019-09-08,shot,toy weapon,24,M,Black,Tacoma,WA,False,undetermined,Foot,False,True,18-29,unarmed,unarmed,toy weapon,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Tacoma, WA"
128,2019-09-09,shot,gun,41,M,White,Aberdeen,WA,False,attack,Foot,False,True,30-44,armed,gun,gun,1,9,2019,3,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Aberdeen, WA"
129,2019-10-23,shot,gun,61,M,White,Spokane,WA,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,10,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Spokane, WA"
130,2019-11-03,shot,knife,56,M,White,Parkland,WA,True,other,Not fleeing,True,True,45-59,armed,other weapon,knife/cutting instrument,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Parkland, WA"
131,2019-11-09,shot,knife,44,M,White,Everett,WA,True,other,Not fleeing,False,True,30-44,armed,other weapon,knife/cutting instrument,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Everett, WA"
132,2019-11-18,shot,vehicle,28,M,Black,Franklin County,WA,False,attack,Car,False,True,18-29,armed,other weapon,other weapon,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Franklin County, WA"
133,2019-11-22,shot,vehicle,36,M,White,Black Diamond,WA,False,attack,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Black Diamond, WA"
134,2019-11-29,shot,undetermined,36,M,White,Eatonville,WA,False,other,Car,False,True,30-44,undetermined,undetermined,undetermined,1,11,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Eatonville, WA"
135,2019-12-12,shot,toy weapon,43,M,White,Renton,WA,False,other,Not fleeing,False,True,30-44,unarmed,unarmed,toy weapon,1,12,2019,4,Washington,7163657,7294771,7423362,7523869,7614893,7718785,7738692,"Renton, WA"
